invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,total,date,time,payment_method,rating
273-16-6619,C,Philadelphia,Normal,Male,Home and lifestyle,33.2,2,69.72,15/03/19,12:20:00,Credit card,4.4
636-48-8204,A,New York,Normal,Male,Electronic accessories,34.56,5,181.44,17/02/19,11:15:00,Ewallet,9.9
549-59-1358,C,San Diego,Member,Male,Sports and travel,88.63,3,279.18,02/03/19,17:36:00,Ewallet,6
227-03-5010,B,San Diego,Member,Female,Home and lifestyle,52.59,8,441.76,22/03/19,19:20:00,Credit card,8.5
649-29-6775,C,Chicago,Normal,Male,Fashion accessories,33.52,1,35.20,08/02/19,15:31:00,Cash,6.7
189-17-4241,A,Houston,Normal,Female,Fashion accessories,87.67,2,184.11,10/03/19,12:17:00,Credit card,7.7
145-94-9061,A,Phoenix,Normal,Female,Food and beverages,88.36,5,463.89,25/01/19,19:48:00,Cash,9.6
848-62-7243,C,Dallas,Normal,Male,Health and beauty,24.89,9,235.21,15/03/19,15:36:00,Cash,7.4
871-79-8483,D,Houston,Normal,Male,Fashion accessories,94.13,5,494.18,25/02/19,19:39:00,Credit card,4.8
149-71-6266,D,San Antonio,Member,Male,Sports and travel,78.07,9,737.76,28/01/19,12:43:00,Cash,4.5
640-49-2076,B,Phoenix,Normal,Male,Sports and travel,83.78,8,703.75,10/01/19,14:49:00,Cash,5.1
595-11-5460,E,New York,Normal,Male,Health and beauty,96.58,2,202.82,15/03/19,10:12:00,Credit card,5.1
183-56-6882,B,San Jose,Member,Female,Food and beverages,99.42,4,417.56,06/02/19,10:42:00,Ewallet,7.5
232-16-2483,E,Philadelphia,Member,Female,Sports and travel,68.12,1,71.53,07/01/19,12:28:00,Ewallet,6.8
129-29-8530,D,San Diego,Member,Male,Sports and travel,62.62,5,328.76,10/03/19,19:15:00,Ewallet,7
272-65-1806,A,Philadelphia,Normal,Female,Electronic accessories,60.88,9,575.32,15/01/19,17:17:00,Ewallet,4.7
333-73-7901,D,San Antonio,Normal,Female,Health and beauty,54.92,8,461.33,23/03/19,13:24:00,Ewallet,7.6
777-82-7220,A,San Antonio,Member,Male,Home and lifestyle,30.12,8,253.01,03/03/19,13:01:00,Cash,7.7
280-35-5823,D,Chicago,Member,Female,Home and lifestyle,86.72,1,91.06,17/01/19,18:45:00,Ewallet,7.9
554-53-8700,C,San Diego,Member,Male,Home and lifestyle,56.11,2,117.83,02/02/19,10:11:00,Cash,6.3
354-25-5821,E,Los Angeles,Member,Female,Sports and travel,69.12,6,435.46,08/02/19,13:03:00,Cash,5.6
228-96-1411,A,Dallas,Member,Female,Food and beverages,98.7,8,829.08,04/03/19,20:39:00,Cash,7.6
617-15-4209,A,San Jose,Member,Male,Health and beauty,15.37,2,32.28,16/03/19,19:47:00,Cash,7.2
132-32-9879,E,San Jose,Member,Female,Electronic accessories,93.96,4,394.63,09/03/19,18:00:00,Cash,9.5
370-41-7321,E,San Jose,Member,Male,Health and beauty,56.69,9,535.72,27/02/19,17:24:00,Credit card,8.4
727-46-3608,D,San Antonio,Member,Female,Food and beverages,20.01,9,189.09,06/02/19,15:47:00,Ewallet,4.1
669-54-1719,E,Chicago,Member,Male,Electronic accessories,18.93,6,119.26,10/02/19,12:45:00,Credit card,8.1
574-22-5561,A,Phoenix,Member,Female,Fashion accessories,82.63,10,867.62,19/03/19,17:08:00,Ewallet,7.9
326-78-5178,C,Los Angeles,Member,Male,Food and beverages,91.4,7,671.79,03/02/19,10:19:00,Cash,9.5
162-48-8011,E,Chicago,Member,Female,Food and beverages,44.59,5,234.10,10/02/19,15:10:00,Cash,8.5
616-24-2851,C,San Diego,Member,Female,Fashion accessories,17.87,4,75.05,22/03/19,14:42:00,Ewallet,6.5
778-71-5554,C,Los Angeles,Member,Male,Fashion accessories,15.43,1,16.20,25/01/19,15:46:00,Credit card,6.1
242-55-6721,B,Los Angeles,Normal,Male,Home and lifestyle,16.16,2,33.94,07/03/19,11:49:00,Ewallet,6.5
399-46-5918,D,San Antonio,Normal,Female,Electronic accessories,85.98,8,722.23,28/02/19,19:01:00,Cash,8.2
106-35-6779,C,Dallas,Member,Male,Home and lifestyle,44.34,2,93.11,27/03/19,11:26:00,Cash,5.8
635-40-6220,D,Los Angeles,Normal,Male,Health and beauty,89.6,8,752.64,07/02/19,11:28:00,Ewallet,6.6
817-48-8732,D,New York,Member,Female,Home and lifestyle,72.35,10,759.68,20/01/19,15:55:00,Cash,5.4
120-06-4233,B,New York,Normal,Male,Electronic accessories,30.61,6,192.84,12/03/19,20:36:00,Cash,9.3
285-68-5083,A,Phoenix,Member,Female,Sports and travel,24.74,3,77.93,15/02/19,17:47:00,Credit card,10
803-83-5989,C,San Jose,Normal,Male,Home and lifestyle,55.73,6,351.10,24/02/19,10:55:00,Ewallet,7
347-34-2234,B,Los Angeles,Member,Female,Sports and travel,55.07,9,520.41,03/02/19,13:40:00,Ewallet,10
199-75-8169,A,San Diego,Member,Male,Sports and travel,15.81,10,166.01,06/03/19,12:27:00,Credit card,8.6
853-23-2453,A,Phoenix,Member,Male,Health and beauty,75.74,4,318.11,14/02/19,14:35:00,Cash,7.6
877-22-3308,B,Houston,Member,Male,Health and beauty,15.87,10,166.64,13/03/19,16:40:00,Cash,5.8
838-78-4295,B,Philadelphia,Normal,Female,Health and beauty,33.47,2,70.29,10/02/19,15:43:00,Ewallet,6.7
109-28-2512,D,Phoenix,Member,Female,Fashion accessories,97.61,6,614.94,07/01/19,15:01:00,Ewallet,9.9
232-11-3025,A,San Jose,Normal,Male,Sports and travel,78.77,10,827.09,24/01/19,10:04:00,Cash,6.4
382-03-4532,C,New York,Member,Female,Health and beauty,18.33,1,19.25,02/02/19,18:50:00,Cash,4.3
393-65-2792,D,Philadelphia,Normal,Male,Food and beverages,89.48,10,939.54,06/01/19,12:46:00,Credit card,9.6
796-12-2025,B,San Jose,Normal,Male,Fashion accessories,62.12,10,652.26,11/02/19,16:19:00,Cash,5.9
510-95-6347,C,New York,Member,Female,Food and beverages,48.52,3,152.84,05/03/19,18:17:00,Ewallet,4
841-35-6630,A,San Diego,Normal,Female,Electronic accessories,75.91,6,478.23,09/03/19,18:21:00,Cash,8.7
287-21-9091,B,Dallas,Normal,Male,Home and lifestyle,74.67,9,705.63,22/01/19,10:55:00,Ewallet,9.4
732-94-0499,E,Dallas,Normal,Female,Electronic accessories,41.65,10,437.33,13/01/19,17:04:00,Credit card,5.4
263-10-3913,E,Philadelphia,Member,Male,Fashion accessories,49.04,9,463.43,09/01/19,14:20:00,Credit card,8.6
381-20-0914,D,Phoenix,Member,Female,Fashion accessories,20.01,9,189.09,12/01/19,15:48:00,Credit card,5.7
829-49-1914,E,Phoenix,Member,Female,Food and beverages,78.31,10,822.26,05/03/19,16:24:00,Ewallet,6.6
756-01-7507,B,Houston,Normal,Female,Health and beauty,20.38,5,107.00,22/01/19,18:56:00,Cash,6
870-72-4431,A,Phoenix,Normal,Female,Health and beauty,99.19,6,624.90,21/01/19,14:42:00,Credit card,5.5
847-38-7188,C,San Antonio,Normal,Female,Food and beverages,96.68,3,304.54,26/01/19,19:56:00,Ewallet,6.4
480-63-2856,D,Houston,Normal,Male,Food and beverages,19.25,8,161.70,23/01/19,18:37:00,Ewallet,6.6
787-56-0757,D,Philadelphia,Member,Female,Food and beverages,80.36,4,337.51,23/02/19,18:45:00,Credit card,8.3
360-39-5055,C,Phoenix,Member,Male,Sports and travel,48.91,5,256.78,09/03/19,10:17:00,Cash,6.6
730-50-9884,C,Phoenix,Normal,Female,Sports and travel,83.06,7,610.49,05/03/19,14:31:00,Ewallet,4
362-58-8315,A,Philadelphia,Normal,Male,Fashion accessories,76.52,5,401.73,25/03/19,10:23:00,Cash,9.9
633-44-8566,E,Los Angeles,Member,Male,Food and beverages,49.38,7,362.94,27/03/19,20:35:00,Credit card,7.3
504-35-8843,A,Philadelphia,Normal,Male,Sports and travel,42.47,1,44.59,02/01/19,16:57:00,Cash,5.7
318-68-5053,A,Philadelphia,Normal,Female,Health and beauty,76.99,6,485.04,27/02/19,17:55:00,Cash,6.1
565-80-5980,C,San Antonio,Member,Female,Home and lifestyle,47.38,4,199.00,23/01/19,10:25:00,Cash,7.1
225-32-0908,B,Houston,Normal,Female,Sports and travel,44.86,10,471.03,26/01/19,19:54:00,Ewallet,8.2
873-51-0671,A,New York,Member,Female,Sports and travel,21.98,7,161.55,10/01/19,16:42:00,Ewallet,5.1
152-08-9985,E,Houston,Member,Male,Health and beauty,64.36,9,608.20,12/03/19,12:09:00,Credit card,8.6
512-91-0811,A,San Diego,Normal,Male,Health and beauty,89.75,1,94.24,06/02/19,20:05:00,Credit card,6.6
594-34-4444,B,Los Angeles,Normal,Male,Electronic accessories,97.16,1,102.02,08/03/19,20:38:00,Ewallet,7.2
766-85-7061,A,Chicago,Normal,Male,Health and beauty,87.87,10,922.64,29/03/19,10:25:00,Ewallet,5.1
871-39-9221,B,Chicago,Normal,Female,Electronic accessories,12.45,6,78.44,09/02/19,13:11:00,Cash,4.1
865-92-6136,E,Philadelphia,Normal,Male,Food and beverages,52.75,3,166.16,23/03/19,10:16:00,Ewallet,9.3
733-01-9107,D,Los Angeles,Normal,Male,Home and lifestyle,82.7,6,521.01,05/03/19,18:14:00,Cash,7.4
163-56-7055,E,San Antonio,Member,Male,Fashion accessories,48.71,1,51.15,26/03/19,19:20:00,Cash,4.1
189-98-2939,C,San Jose,Normal,Male,Fashion accessories,78.55,9,742.30,01/03/19,13:22:00,Cash,7.2
551-21-3069,B,San Diego,Normal,Female,Electronic accessories,23.07,9,218.01,01/02/19,11:27:00,Cash,4.9
212-62-1842,E,New York,Normal,Male,Food and beverages,58.26,6,367.04,28/03/19,16:44:00,Cash,9.9
716-39-1409,A,San Jose,Normal,Male,Health and beauty,30.35,7,223.07,19/03/19,18:19:00,Cash,8
704-48-3927,E,Dallas,Member,Male,Electronic accessories,88.67,10,931.04,12/01/19,14:50:00,Ewallet,7.3
628-34-3388,B,Los Angeles,Normal,Male,Fashion accessories,27.38,6,172.49,05/01/19,20:54:00,Credit card,7.9
630-74-5166,B,New York,Normal,Male,Sports and travel,62.13,6,391.42,22/03/19,20:19:00,Cash,7.4
588-01-7461,D,San Antonio,Normal,Female,Food and beverages,33.98,9,321.11,24/03/19,10:43:00,Cash,4.2
861-77-0145,E,Houston,Member,Male,Electronic accessories,81.97,10,860.69,03/03/19,14:30:00,Cash,9.2
479-26-8945,C,San Diego,Member,Female,Sports and travel,16.49,2,34.63,05/02/19,11:32:00,Ewallet,4.6
210-67-5886,D,Philadelphia,Member,Female,Health and beauty,98.21,3,309.36,05/02/19,10:41:00,Credit card,7.8
227-78-1148,D,San Jose,Normal,Female,Fashion accessories,72.84,7,535.37,15/02/19,12:44:00,Cash,8.4
645-44-1170,C,Chicago,Member,Male,Home and lifestyle,58.07,9,548.76,19/01/19,20:07:00,Ewallet,4.3
237-01-6122,C,Dallas,Member,Female,Home and lifestyle,80.79,9,763.47,01/02/19,20:31:00,Credit card,9.5
225-98-1496,E,San Diego,Normal,Female,Fashion accessories,27.02,3,85.11,02/03/19,13:01:00,Credit card,7.1
291-32-1427,C,San Jose,Member,Male,Fashion accessories,21.94,5,115.19,05/03/19,12:29:00,Ewallet,5.3
659-65-8956,E,Philadelphia,Member,Male,Fashion accessories,51.36,1,53.93,16/01/19,15:26:00,Ewallet,5.2
642-32-2990,B,San Diego,Normal,Female,Food and beverages,10.96,10,115.08,02/02/19,20:48:00,Ewallet,6
378-24-2715,B,Philadelphia,Normal,Male,Home and lifestyle,53.44,2,112.22,20/01/19,20:38:00,Ewallet,4.1
638-60-7125,C,San Diego,Normal,Female,Electronic accessories,99.56,8,836.30,14/02/19,17:03:00,Credit card,5.2
659-36-1684,C,Phoenix,Member,Male,Sports and travel,57.12,7,419.83,12/01/19,12:02:00,Credit card,6.5
219-22-9386,D,Philadelphia,Member,Male,Sports and travel,99.96,9,944.62,09/03/19,17:26:00,Credit card,4.2
336-78-2147,A,Chicago,Member,Male,Home and lifestyle,63.91,8,536.84,13/03/19,19:52:00,Credit card,4.6
268-27-6179,D,Los Angeles,Member,Female,Fashion accessories,56.47,8,474.35,09/03/19,14:57:00,Ewallet,7.3
668-90-8900,A,San Diego,Normal,Female,Home and lifestyle,93.69,7,688.62,10/03/19,18:44:00,Credit card,4.5
870-54-3162,E,San Diego,Normal,Female,Sports and travel,32.25,5,169.31,27/01/19,13:26:00,Cash,9
189-08-9157,C,Dallas,Normal,Female,Fashion accessories,31.73,9,299.85,08/01/19,16:17:00,Credit card,5.9
663-86-9076,A,Philadelphia,Member,Female,Food and beverages,68.54,8,575.74,08/01/19,15:57:00,Ewallet,8.5
549-84-7482,D,San Jose,Normal,Female,Sports and travel,90.28,9,853.15,08/02/19,11:15:00,Ewallet,7.2
191-10-6171,D,San Jose,Normal,Female,Fashion accessories,39.62,7,291.21,25/01/19,13:18:00,Cash,7.5
802-70-5316,E,San Antonio,Member,Female,Sports and travel,92.13,6,580.42,06/03/19,20:34:00,Cash,8.3
695-51-0018,A,San Antonio,Normal,Female,Sports and travel,34.84,4,146.33,10/02/19,18:36:00,Cash,7.4
590-83-4591,E,Houston,Member,Male,Electronic accessories,87.45,6,550.94,17/02/19,14:40:00,Credit card,8.8
483-71-1164,C,San Diego,Normal,Female,Health and beauty,81.3,6,512.19,08/03/19,16:43:00,Ewallet,5.3
597-78-7908,B,San Diego,Normal,Male,Fashion accessories,90.22,3,284.19,18/02/19,19:39:00,Cash,6.2
700-81-1757,B,Dallas,Normal,Female,Electronic accessories,26.31,5,138.13,18/01/19,20:59:00,Credit card,8.8
354-39-5160,B,Chicago,Member,Female,Home and lifestyle,34.42,6,216.85,18/02/19,15:39:00,Cash,9.8
241-72-9525,B,San Diego,Normal,Male,Sports and travel,51.91,10,545.06,16/02/19,12:21:00,Cash,8.2
575-30-8091,A,Los Angeles,Normal,Male,Sports and travel,72.5,8,609.00,16/03/19,19:25:00,Ewallet,9.2
731-81-9469,D,Chicago,Member,Female,Sports and travel,89.8,10,942.90,23/01/19,13:00:00,Credit card,5.4
280-17-4359,A,San Jose,Member,Male,Health and beauty,90.5,10,950.25,25/01/19,13:48:00,Cash,8.1
338-65-2210,B,San Jose,Member,Female,Health and beauty,68.6,10,720.30,05/02/19,19:57:00,Cash,9.1
488-25-4221,C,New York,Member,Female,Food and beverages,30.41,1,31.93,22/02/19,10:36:00,Credit card,8.4
239-10-7476,D,Chicago,Normal,Female,Home and lifestyle,77.95,6,491.09,21/01/19,16:37:00,Ewallet,8
458-41-1477,A,Phoenix,Normal,Female,Health and beauty,46.26,6,291.44,08/03/19,17:11:00,Credit card,9.5
685-64-1609,A,San Diego,Member,Female,Fashion accessories,30.14,10,316.47,10/02/19,12:28:00,Ewallet,9.2
568-90-5112,C,Chicago,Normal,Male,Health and beauty,66.14,4,277.79,19/03/19,12:46:00,Credit card,5.6
262-47-2794,D,Chicago,Member,Male,Home and lifestyle,71.86,8,603.62,06/03/19,15:07:00,Credit card,6.2
238-49-0436,A,Los Angeles,Normal,Male,Health and beauty,32.46,8,272.66,27/03/19,13:48:00,Credit card,4.9
608-96-3517,A,San Antonio,Member,Female,Fashion accessories,91.54,4,384.47,23/03/19,19:20:00,Credit card,4.8
584-86-7256,C,San Diego,Member,Male,Sports and travel,34.56,7,254.02,11/03/19,16:07:00,Credit card,7.3
746-94-0204,E,San Diego,Normal,Male,Fashion accessories,83.24,9,786.62,29/01/19,11:56:00,Credit card,7.4
214-17-6927,B,San Diego,Normal,Female,Food and beverages,16.48,6,103.82,07/02/19,18:23:00,Ewallet,9.9
400-89-4171,C,San Antonio,Normal,Female,Sports and travel,80.97,8,680.15,28/01/19,13:05:00,Cash,9.3
782-95-9291,E,Phoenix,Member,Male,Food and beverages,92.29,5,484.52,20/02/19,15:55:00,Credit card,9
279-74-2924,E,San Diego,Member,Male,Electronic accessories,72.17,1,75.78,04/01/19,19:40:00,Cash,6.1
307-85-2293,C,Houston,Normal,Male,Home and lifestyle,50.28,5,263.97,07/03/19,13:58:00,Ewallet,9.7
743-04-1105,A,Phoenix,Member,Male,Health and beauty,97.22,9,918.73,30/03/19,14:43:00,Ewallet,6
423-57-2993,C,Los Angeles,Normal,Male,Sports and travel,93.39,6,588.36,27/03/19,19:18:00,Ewallet,10
894-41-5205,C,San Jose,Normal,Female,Food and beverages,43.18,8,362.71,19/01/19,19:39:00,Credit card,8.3
275-28-0149,E,San Antonio,Normal,Male,Sports and travel,63.69,1,66.87,25/02/19,16:21:00,Cash,6
101-17-6199,D,New York,Normal,Male,Food and beverages,45.79,7,336.56,13/03/19,19:44:00,Credit card,7
423-80-0988,E,Phoenix,Normal,Male,Sports and travel,76.4,2,160.44,30/01/19,19:42:00,Ewallet,6.5
548-46-9322,B,Chicago,Normal,Male,Food and beverages,39.9,10,418.95,20/02/19,15:24:00,Credit card,5.9
505-02-0892,D,New York,Member,Male,Health and beauty,42.57,8,357.59,25/02/19,14:12:00,Ewallet,5.6
234-65-2137,C,Chicago,Normal,Male,Home and lifestyle,95.58,10,1003.59,16/01/19,13:32:00,Cash,4.8
687-47-8271,E,Houston,Normal,Male,Fashion accessories,98.98,10,1039.29,08/02/19,16:20:00,Credit card,8.7
796-32-9050,C,San Diego,Normal,Male,Food and beverages,51.28,6,323.06,19/01/19,16:31:00,Cash,6.5
105-31-1824,C,Houston,Member,Male,Sports and travel,69.52,7,510.97,01/02/19,15:10:00,Credit card,8.5
249-42-3782,E,Chicago,Normal,Male,Health and beauty,70.01,5,367.55,03/01/19,11:36:00,Ewallet,5.5
316-55-4634,C,New York,Member,Male,Food and beverages,80.05,5,420.26,26/01/19,12:45:00,Credit card,9.4
733-33-4967,E,Chicago,Normal,Male,Electronic accessories,20.85,8,175.14,03/03/19,19:17:00,Cash,6.3
608-27-6295,E,San Diego,Member,Male,Electronic accessories,52.89,6,333.21,19/01/19,17:34:00,Credit card,9.8
414-12-7047,D,Phoenix,Normal,Male,Food and beverages,19.79,8,166.24,18/01/19,12:04:00,Ewallet,8.7
827-26-2100,E,Chicago,Member,Male,Home and lifestyle,33.84,9,319.79,21/03/19,16:21:00,Ewallet,8.8
175-54-2529,D,Philadelphia,Member,Male,Food and beverages,22.17,8,186.23,03/03/19,17:01:00,Credit card,9.6
139-52-2867,D,Chicago,Normal,Female,Fashion accessories,22.51,7,165.45,13/02/19,10:50:00,Credit card,4.8
407-63-8975,D,Phoenix,Normal,Male,Food and beverages,73.88,6,465.44,23/03/19,19:16:00,Ewallet,4.4
342-65-4817,D,Houston,Member,Male,Health and beauty,86.8,3,273.42,28/01/19,16:47:00,Ewallet,9.9
130-98-8941,C,San Diego,Normal,Male,Fashion accessories,64.26,7,472.31,09/02/19,10:00:00,Cash,5.7
434-83-9547,D,San Jose,Member,Male,Food and beverages,38.47,8,323.15,23/01/19,11:51:00,Cash,7.7
851-28-6367,C,Houston,Member,Male,Sports and travel,15.5,10,162.75,23/03/19,10:55:00,Ewallet,8
824-88-3614,D,Houston,Normal,Male,Health and beauty,34.31,8,288.20,25/01/19,15:00:00,Ewallet,5.7
586-25-0848,D,New York,Normal,Female,Sports and travel,12.34,7,90.70,04/03/19,11:19:00,Credit card,6.7
895-66-0685,D,San Diego,Member,Male,Food and beverages,18.08,3,56.95,05/03/19,19:46:00,Ewallet,8
305-14-0245,C,Chicago,Member,Female,Home and lifestyle,94.49,8,793.72,03/03/19,19:00:00,Ewallet,7.5
732-04-5373,C,Los Angeles,Member,Male,Home and lifestyle,46.47,4,195.17,08/02/19,10:53:00,Cash,7
400-60-7251,E,Chicago,Normal,Male,Home and lifestyle,74.07,1,77.77,10/02/19,12:50:00,Ewallet,9.9
593-65-1552,E,San Antonio,Normal,Female,Home and lifestyle,69.81,4,293.20,28/01/19,20:50:00,Credit card,5.9
284-34-9626,C,San Antonio,Normal,Female,Home and lifestyle,77.04,3,242.68,11/02/19,10:39:00,Credit card,7.2
437-58-8131,C,Philadelphia,Normal,Female,Fashion accessories,73.52,2,154.39,15/01/19,13:41:00,Ewallet,4.6
286-43-6208,D,Chicago,Normal,Female,Food and beverages,87.8,9,829.71,16/03/19,19:08:00,Cash,9.2
641-43-2399,C,Philadelphia,Normal,Male,Home and lifestyle,25.55,4,107.31,26/01/19,20:23:00,Ewallet,5.7
831-07-6050,C,San Diego,Normal,Male,Electronic accessories,32.71,5,171.73,19/03/19,11:30:00,Credit card,9.9
556-86-3144,D,San Jose,Member,Female,Fashion accessories,74.29,1,78.00,13/01/19,19:30:00,Cash,5
848-24-9445,C,New York,Member,Male,Health and beauty,43.7,2,91.77,26/03/19,18:03:00,Cash,4.9
856-22-8149,E,San Jose,Normal,Female,Home and lifestyle,25.29,1,26.55,23/03/19,10:13:00,Ewallet,6.1
699-01-4164,E,Phoenix,Normal,Male,Health and beauty,41.5,4,174.30,12/03/19,19:58:00,Credit card,8.2
420-11-4919,C,Los Angeles,Member,Female,Food and beverages,71.39,5,374.80,17/02/19,19:57:00,Credit card,5.5
606-80-4905,C,San Jose,Member,Female,Sports and travel,19.15,6,120.65,29/01/19,10:01:00,Credit card,6.8
542-41-0513,D,Dallas,Member,Female,Electronic accessories,57.49,4,241.46,15/03/19,11:57:00,Cash,6.6
426-39-2418,C,New York,Normal,Male,Electronic accessories,61.41,7,451.36,14/01/19,10:02:00,Cash,9.8
875-46-5808,D,Dallas,Member,Male,Health and beauty,25.9,10,271.95,06/02/19,14:51:00,Ewallet,8.7
394-43-4238,D,Houston,Member,Male,Home and lifestyle,17.77,5,93.29,15/02/19,12:42:00,Credit card,5.4
749-24-1565,D,New York,Normal,Female,Health and beauty,23.03,9,217.63,03/01/19,12:02:00,Ewallet,7.9
672-51-8681,E,San Jose,Member,Female,Electronic accessories,66.65,9,629.84,04/01/19,18:19:00,Credit card,9.7
263-87-5680,C,San Diego,Member,Female,Home and lifestyle,28.53,10,299.57,18/03/19,17:38:00,Ewallet,7.8
573-58-9734,E,Phoenix,Normal,Female,Fashion accessories,30.37,3,95.67,28/03/19,13:41:00,Ewallet,5.1
817-69-8206,C,Philadelphia,Normal,Female,Electronic accessories,99.73,9,942.45,02/03/19,19:42:00,Credit card,6.5
888-02-0338,D,Houston,Normal,Male,Electronic accessories,26.23,9,247.87,25/01/19,20:24:00,Ewallet,5.9
677-11-0152,D,Phoenix,Normal,Female,Food and beverages,93.26,9,881.31,16/01/19,18:08:00,Cash,8.8
142-63-6033,C,San Diego,Normal,Male,Home and lifestyle,92.36,5,484.89,20/03/19,19:17:00,Ewallet,4.9
656-16-1063,C,Philadelphia,Normal,Male,Sports and travel,46.42,3,146.22,04/01/19,13:24:00,Credit card,4.4
891-58-8335,D,San Diego,Member,Female,Sports and travel,29.61,7,217.63,11/03/19,15:53:00,Cash,6.5
802-43-8934,C,Los Angeles,Normal,Male,Home and lifestyle,18.28,1,19.19,22/03/19,15:05:00,Credit card,8.3
560-30-5617,D,Chicago,Normal,Female,Sports and travel,24.77,5,130.04,24/03/19,18:27:00,Cash,8.5
319-74-2561,C,Phoenix,Member,Female,Electronic accessories,94.64,3,298.12,21/02/19,16:55:00,Cash,5.5
549-03-9315,D,San Diego,Normal,Male,Fashion accessories,94.87,8,796.91,12/02/19,12:58:00,Ewallet,8.7
790-29-1172,E,Los Angeles,Normal,Female,Food and beverages,57.34,3,180.62,10/03/19,18:59:00,Credit card,7.9
239-36-3640,E,Philadelphia,Normal,Male,Electronic accessories,45.35,6,285.71,31/01/19,13:44:00,Ewallet,6.1
468-01-2051,C,Philadelphia,Normal,Male,Food and beverages,62.08,7,456.29,06/03/19,13:46:00,Ewallet,5.4
389-25-3394,D,San Jose,Normal,Male,Electronic accessories,11.81,5,62.00,17/02/19,18:06:00,Cash,9.4
279-62-1445,C,Philadelphia,Member,Female,Fashion accessories,12.54,1,13.17,21/02/19,12:38:00,Cash,8.2
213-72-6612,E,Houston,Normal,Male,Food and beverages,43.25,2,90.83,20/03/19,15:56:00,Cash,6.2
746-68-6593,D,Phoenix,Member,Female,Sports and travel,87.16,2,183.04,11/01/19,14:29:00,Credit card,9.7
836-82-5858,D,Dallas,Member,Male,Health and beauty,69.37,9,655.55,26/01/19,19:14:00,Ewallet,4
583-72-1480,C,San Jose,Member,Male,Electronic accessories,37.06,4,155.65,31/01/19,16:24:00,Ewallet,9.7
466-61-5506,C,San Diego,Member,Female,Electronic accessories,90.7,6,571.41,26/02/19,10:52:00,Cash,5.3
721-86-6247,C,Phoenix,Normal,Female,Home and lifestyle,63.42,8,532.73,11/03/19,12:55:00,Ewallet,7.4
289-65-5721,D,San Antonio,Normal,Female,Fashion accessories,81.37,2,170.88,26/01/19,19:28:00,Cash,6.5
545-46-3100,C,Dallas,Member,Female,Electronic accessories,10.59,3,33.36,12/03/19,13:52:00,Credit card,8.7
418-02-5978,D,Chicago,Normal,Female,Health and beauty,84.09,9,794.65,11/02/19,10:54:00,Cash,8
269-04-5750,C,San Antonio,Member,Male,Fashion accessories,73.82,4,310.04,21/02/19,18:31:00,Cash,6.7
